Id,Title,JobType,CompanyName,CompanyId,City,Country,PostDate
1,User Experience (UX) Research Lead,Full-time,Achievement Network (ANet),1,Boston, US,"December 2, 2019"
2,Senior UX/Product Designer,Full-time,Bark.com,2,London, UK,"December 2, 2019"
3,Digital Product Designer,Full-time,Super User Studio,3,Bath, UK,"November 22, 2019"
4,Head of Design,Full-time,Meraki,4,San Francisco, US,"November 20, 2019"
5,UX Designer,Full-time,PROS,5,Houston, US,"November 20, 2019"
6,UX Researcher (Consultant),Contract,Theorem,6,London, UK,"October 31, 2019"
7,Senior UX/UI Designer,Full-time,Borne Digital,7,London, UK,"October 31, 2019"
8,UX Designer,Full-time,Numbrs Personal Finance AG,8,Zurich, Switzerland,"October 31, 2019"
9,UX Researcher (Germany) – Remote (full-time),Full-time,Numbrs Personal Finance AG,8,Anywhere,Anywhere,"October 31, 2019"
10,Senior Product Designer (Maternity Cover),Full-time,Unboxed,10,60-62 Commercial Street,  London,"October 17, 2019"
11,Project Manager / Project Lead,Full-time,Super User Studio,3,Bath, UK,"January 9, 2019"
12,Senior UX Designer (m/f/x),Full-time,Tourlane,12,Berlin, Germany,"December 3, 2019"
13,Senior UX Researcher (f/m/x),Full-time,Tourlane,12,Berlin, Germany,"December 3, 2019"
14,Tenure – Track Assistant Professor – User Experience Design (UXD),Full-time,Kent State University,14,Kent, US,"December 3, 2019"
15,Junior/Grad UX Designer,Full-time,SR2,15,Bristol, UK,"December 2, 2019"
16,UX/UI Designer at Esports start-up,Full-time,Edge,16,London, UK,"December 2, 2019"
17,Senior UI/UX Designer,Full-time,WELL,17,Boston, US,"December 2, 2019"
18,Head of Design,Full-time,Digital Influx,18,London, UK,"December 2, 2019"
19,"Urgent Need for UI Tech Lead in San Jose, CA – Contract",Contract,Trinity Cloud Company,19,San Jose, US,"December 2, 2019"
20,Remote UX designer,Full-time,SpringboardVR,20,Anywhere, US,"December 2, 2019"
21,UX Lead,Full-time,Your.MD,21,London, UK,"December 2, 2019"
22,UX Product Designer,Full-time,Wizer,22,Netanya, Israel,"December 2, 2019"
23,UX Designer,Full-time,Dennis Publishing,23,London, UK,"December 2, 2019"
24,UX Designer,Full-time,Askia,24,Paris, France,"November 26, 2019"
25,Sr. UX/UI Designer,Full-time,OPTiMOIT,25,Anywhere,Anywhere,"November 26, 2019"
26,UX/UI Designer,Full-time,Healthie,26,New York, US,"November 26, 2019"
27,Lead Mobile UX UI Designer,Full-time,OPTiMOIT,25,Anywhere,Anywhere,"November 26, 2019"
28,"Assistant/Associate Professor, Communication Design",Full-time,University of Cincinnati,28,Cincinnati, US,"November 26, 2019"
29,"Director, Product Design",Full-time,Olo,29,New York, US,"November 20, 2019"
30,UX Designer,Full-time,iCapital Network,30,New York, NY,"November 20, 2019"
31,Lead User Researcher,Full-time,Gousto,31,London, UK,"November 20, 2019"
32,UX Designer @ Clara,Full-time,Clara Technologies Ltd.,32,London, UK,"November 20, 2019"
33,UX / UI Designer,Full-time,Beaconfire RED,33,Arlington va 22201,  US,"November 20, 2019"
34,UX Designer,Contract,BMurphy,34,King of Prussia, US,"November 20, 2019"
35,UX Designer,Contract,Rajul,35,Reston, VA,"November 20, 2019"
36,Senior User Experience Design Consultant,Full-time,Ironside Group,36,MA 02421,  US,"November 20, 2019"
37,UX Product Designer – LEAD,Full-time,UserEdge Technical Personnel,37,Montvale, US,"November 20, 2019"
38,Mid-Level Full Stack Engineer,Full-time,Digital Influx,18,London, UK,"November 20, 2019"
39,Digital Designer,Full-time,Digital Influx,18,London, UK,"November 20, 2019"
40,Product Designer,Full-time,Olo,29,Lynnwoodd, US,"November 20, 2019"
41,UI/UX Designer,Full-time,Snappy Gifts,41,New York City, US,"November 20, 2019"
42,Head – CX,Full-time,The Economist,42,Anywhere,Anywhere,"November 20, 2019"
43,Senior Devops and Backend Engineer,Full-time,Digital Influx,18,London, UK,"November 20, 2019"
44,Senior Full Stack Engineer,Full-time,Digital Influx,18,London, UK,"November 20, 2019"
45,Senior iOS Engineer,Full-time,Digital Influx,18,London, UK,"November 20, 2019"
46,User Experience Designer,Full-time,The User Story,46,Norwich, UK,"November 20, 2019"
47,User Experience Designer,Full-time,Shoobx,47,Cambridge, US,"November 20, 2019"
48,Pathrise Design Fellowship,Full-time,connorbrady,48,Anywhere,Anywhere,"November 20, 2019"
49,UX Designer (m/w/d),Full-time,eurodata AG,49,Anywhere,Anywhere,"November 20, 2019"
50,Senior Software Engineer,Full-time,4MY Technologies,50,Shelby Township, US,"November 20, 2019"
